species,yr1973,,
Achillea millefolium,,,
Aconitum columbianum,,,
Agastache urticifolia,,,
Agoseris aurantiaca,,,
Agoseris glauca,,,
Allium geyeri,,,
Amelanchier pumila,,,
Amerosedum lanceolatum,,,
Androsace septentrionalis,,,
Angelica grayi,1973 only,,
Antennaria pulcherrima,,,
Anticlea elegans,,,
Aquilegia coerulea,,,
Arabis drummondii,,,
Arenaria congesta,,,This it the common Arenaria in the plots
Arenaria fendleri,,,I'm not sure why this species is listed.  I'll have to check plot/year where it's reported
Arnica chamissonis,1973 only,,
Arnica cordifolia,1973 only,,
Artemisia dracunculus,,,
Artemisia tridentata,,,
Aster engelmannii,,,Probably this was Symphyotrichum; I'll have to check plot/year
Astragalus alpinus,1973 only,,
Barbarea vulgaris,,,
Bromus inermis,,,
Calochortus gunnisonii,,,
Campanula rotundifolia,,,
Cardamine cordifolia,,,
Carex geyeri,,,
Carex sp.,,,
Castilleja linariaefolia,,,
Castilleja miniata,,,
Castilleja sulphurea,,,duplicate
Castilleja sulphurea ,,,duplicate
Ceratochloa carinata,,,
Chamerion angustifolium,,,
Chenopodium album,,,I think there's only one Chenopodium species in the plots; I'll have to check plot/year 
Chenopodium foliosum,,,I think there's only one Chenopodium species in the plots; I'll have to check plot/year 
Chenopodium sp.,,,I think there's only one Chenopodium species in the plots; I'll have to check plot/year 
Cirsium sp.,,,
Claytonia lanceolata,,,
Collomia heterophylla,,,"I think there's only one Collomia in the plots, linearis.  I'll have to check plot/year for this entry. "
Collomia linearis,,,
Corallorhiza trifida,1973 only,,
Dasiphora fruticosa,,,
Delphinium barbeyi,,,
Delphinium nuttallianum,,,
Deschampsia caespitosa,,,
Descurainea richardsonii,,,
Dodecatheon pulchellum,,,
Draba aurea,,,
Draba nemorosa,,,
Dugaldia hoopesii,,,
Elymus glaucus,,,
Elymus trachycaulis,,,
Epilobium brachycarpum,,,
Epilobium hornemanii,1973 only,,
Epilobium lactiflorum,,,
Epilobium saximontanum,1973 only,,
Erigeron coulteri,,,
Erigeron elatior,,,
Erigeron flagellaris,,,
Erigeron speciosus,,,
Eriogonum subalpinum,,,
Eriogonum umbellatum,,,
Erysimum asperum,,,
Erysimum capitatum,,,"Same as asperum, which I think is the preferred name"
Erythrocoma triflora,,,Synonym for Geum triflorum; looks like plants.usda.gov uses Geum
Erythronium grandiflorum,,,
Festuca thurberi,,,
Fragaria virginiana,,,
Frasera speciosa,,,
Galium bifolium,,,annual
Galium boreale,,,
Galium septentrionale,,,An older synonym for Galium boreale
Gayophytum ramosissimum,,,
Gentiana acuta,,,Now Gentianella amarella
Gentianella acuta,,,Now Gentianella amarella
Gentianopsis barbellata,,,Should probably be thermalis; I'll have to check plot/year
Gentianopsis thermalis,,,
Geranium richardsonii,,,
Geum triflorum,,,
Gnaphalium uliginosum,,,
Hackelia floribunda,,,
Hedysarum occidentale,1973 only,,
Helianthella quinquenervis,,,
Heliomeris multiflora,,,
Heracleum maximum,,,
Heterotheca villosa,,,
Heuchera parviflora,,,
