file,species,date,capitula,clusters,flowers,inflorescences,other,plants,unknown1,unknown2,double.count,filelow,sp1,sp2,sp3,latbi,,need.change,new.genus,new.epithet,notes
Willow-Meadow Interface Plot #4 - 2008,"""droopy grass - oats""",6/8/08,,,,,,,,,,willow-meadow interface plot #4 - 2008,"""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats"" ""droopy grass - oats"" ""droopy grass - oats""",,yes,Stipa,lettermanii,
rocky meadow #9 - 2000,"(Elymus glauca) tight spike, 5-mm awns, NW corner",4/8/00,,,,,,,,,,rocky meadow #9 - 2000,"(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner","(Elymus glauca) tight spike, 5-mm awns, NW corner (Elymus glauca) tight spike, 5-mm awns, NW corner (Elymus glauca) tight spike, 5-mm awns, NW corner",,yes,Elymus,glaucus,
RM4-1973,Achillea  millefolium,6/6/73,,,,,,,,,,rm4-1973,Achillea,millefolium,,Achillea millefolium ,,no,,,
greenhouse plot #4 - 2004,Achnatherum (Stipa) lettermanii - needlegrass,5/1/04,,,,,,,,,,greenhouse plot #4 - 2004,Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass,Achnatherum (Stipa) lettermanii - needlegrass Achnatherum (Stipa) lettermanii - needlegrass Achnatherum (Stipa) lettermanii - needlegrass,,yes,Stipa,lettermanii,
greenhouse plot #2 - 2003,Achnatherum (Stipa) lettermanii - needlegrass (long awns),5/11/03,,,,,,,,,,greenhouse plot #2 - 2003,Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns),Achnatherum (Stipa) lettermanii - needlegrass (long awns) Achnatherum (Stipa) lettermanii - needlegrass (long awns) Achnatherum (Stipa) lettermanii - needlegrass (long awns),,yes,Stipa,lettermanii,
RM8-1973,Aconitum  columbianum,7/10/73,,,,,,,,,,rm8-1973,Aconitum,columbianum,,Aconitum columbianum ,,no,,,
Rocky Meadow #7 - 2006,Agastache urticifolia,4/27/06,,,,,,,,,,rocky meadow #7 - 2006,Agastache,urticifolia,,Agastache urticifolia ,,no,,,
RM8-1973,Agoseris  aurantiaca,7/10/73,1,,,,,1,,,,rm8-1973,Agoseris,aurantiaca,,Agoseris aurantiaca ,,no,,,
WM11975,Agoseris,6/3/75,,,,,,,,,,wm11975,Agoseris,,,Agoseris  ,,,,,impossible to determine
WM41976,Agoseris  glauca,6/5/76,,,,,,,,,,wm41976,Agoseris,glauca,,Agoseris glauca ,,no,,,
WM2-1974,Agoseris?,5/26/74,,,,,,,,,,wm2-1974,Agoseris?,,,Agoseris?  ,,yes,Agoseris,aurantiaca,A. glauca never in this plot
erythronium meadow #1 - 1999,Agropyron spp,5/21/99,,,,,,,,,,erythronium meadow #1 - 1999,Agropyron,spp,,Agropyron spp ,,yes,,,
int11996,Agropyron,5/10/96,,,,,,,,,,int11996,Agropyron,,,Agropyron  ,,,,,impossible to determine
rocky meadow #8 - 2000,Agropyron ssp.,4/8/00,,,,,,,,,,rocky meadow #8 - 2000,Agropyron,ssp.,,Agropyron ssp. ,,yes,,,
wet meadow #3 - 1997,Agropyron trachycaulus.1,5/18/97,,,,,,,,,,wet meadow #3 - 1997,Agropyron,trachycaulus.1,,Agropyron trachycaulus.1 ,,yes,,,
willow-meadow interface #4 - 1999,Agropyron spp.,5/21/99,,,,,,,,,,willow-meadow interface #4 - 1999,Agropyron,spp.,,Agropyron spp. ,,yes,,,
VB1-1973,Allium  geyeri,6/9/73,,,,,,,,,,vb1-1973,Allium,geyeri,,Allium geyeri ,,no,,,not counted again
RM3-1973,Amelanchier  pumila,6/6/73,,,,,,,,,,rm3-1973,Amelanchier,pumila,,Amelanchier pumila ,,no,,,
rocky meadow #2 - 2004,Amerosedum lanceolatum,4/4/04,,,,,,,,,,rocky meadow #2 - 2004,Amerosedum,lanceolatum,,Amerosedum lanceolatum ,,no,,,
RM1-1973,Androsace  septentrionalis,6/6/73,,,,,,,,,,rm1-1973,Androsace,septentrionalis,,Androsace septentrionalis ,,no,,,
SB3-1973,Angelica  grayi,6/20/73,,,,,,,,,,sb3-1973,Angelica,grayi,,Angelica grayi ,,no,,,
rm4-1984,annual,5/27/84,,,,,,,,,,rm4-1984,annual,,,annual  ,,,,,impossible to determine
rm6-1986,Antennaria parvifolia,5/31/86,,,,,,,,,,rm6-1986,Antennaria,parvifolia,,Antennaria parvifolia ,,yes,Antennaria,pulcherrima,
Rocky Meadow #6 - updated September 2008_2006,Antennaria pulcherrima,4/28/06,,,,,,,,,,rocky meadow #6 - updated september 2008_2006,Antennaria,pulcherrima,,Antennaria pulcherrima ,,no,,,
RM9-1973,Aquilegia  caerulea,7/10/73,,,,,,,,,,rm9-1973,Aquilegia,caerulea,,Aquilegia caerulea ,,no,,,
em21987,Arabis  not drummondii?,5/9/87,,,,,,,,,,em21987,Arabis,not,drummondii?,Arabis not drummondii?,,yes,Arabis,drummondii,
gp11988,Arabis  glabra,5/25/88,,,,(pink flowers),,,,,,gp11988,Arabis,glabra,,Arabis glabra ,,yes,Arabis,drummondii,
RM1-1973,Arabis  drummondii,6/6/73,,,,,,,,,,rm1-1973,Arabis,drummondii,,Arabis drummondii ,,no,,,
rm3-1983,Arabis,6/7/83,,,,,,,,,,rm3-1983,Arabis,,,Arabis  ,,yes,Arabis,drummondii,
wm41992,Arabis  drummondii.1,5/26/92,,,pink flowers,,,,,,,wm41992,Arabis,drummondii.1,,Arabis drummondii.1 ,,yes,Arabis,drummondii,
wm51989,Arabis  drummondii (purple flowers),5/13/89,,,,,,,,,,wm51989,Arabis  drummondii (purple flowers),Arabis  drummondii (purple flowers),Arabis  drummondii (purple flowers),Arabis  drummondii (purple flowers) Arabis  drummondii (purple flowers) Arabis  drummondii (purple flowers),,yes,Arabis,drummondii,morph of A. drummondii
wm31991,"Arabis  pink, tiny flowers",5/30/91,,,,,,,,,,wm31991,"Arabis  pink, tiny flowers","Arabis  pink, tiny flowers","Arabis  pink, tiny flowers","Arabis  pink, tiny flowers Arabis  pink, tiny flowers Arabis  pink, tiny flowers",,yes,Arabis,drummondii,
gp21991,Arabis - small pink flowers,5/30/91,,,,,,,,,,gp21991,Arabis - small pink flowers,Arabis - small pink flowers,Arabis - small pink flowers,Arabis - small pink flowers Arabis - small pink flowers Arabis - small pink flowers,,yes,Arabis,drummondii,
gp21992,Arabis - small pink flowers  drummondii,5/26/92,,,,,,,,,,gp21992,Arabis - small pink flowers  drummondii,Arabis - small pink flowers  drummondii,Arabis - small pink flowers  drummondii,Arabis - small pink flowers  drummondii Arabis - small pink flowers  drummondii Arabis - small pink flowers  drummondii,,yes,Arabis,drummondii,
wm41991,Arabis - small pink-flowered species,5/30/91,,,,,,,,,,wm41991,Arabis - small pink-flowered species,Arabis - small pink-flowered species,Arabis - small pink-flowered species,Arabis - small pink-flowered species Arabis - small pink-flowered species Arabis - small pink-flowered species,,yes,Arabis,drummondii,
willow-meadow interface #5 - 1998,"Arabis drummondii (?) - small, yellowish flowers",5/2/98,,,,,,,,,,willow-meadow interface #5 - 1998,"Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers","Arabis drummondii (?) - small, yellowish flowers Arabis drummondii (?) - small, yellowish flowers Arabis drummondii (?) - small, yellowish flowers",,yes,Arabis,drummondii,
rocky meadow #7 - 2000,Arabis spp. (pink flowers),4/8/00,,,,,,,,,,rocky meadow #7 - 2000,Arabis spp. (pink flowers),Arabis spp. (pink flowers),Arabis spp. (pink flowers),Arabis spp. (pink flowers) Arabis spp. (pink flowers) Arabis spp. (pink flowers),,yes,Arabis,drummondii,
Rocky Meadow #1 - updated September 2008_2006,Arenaria congesta,4/28/06,,,,,,,,,,rocky meadow #1 - updated september 2008_2006,Arenaria,congesta,,Arenaria congesta ,,no,,,
rm11991,Arenaria  fendleri (ID by Barb Frase),5/29/91,,,,,,,,,,rm11991,Arenaria  fendleri (ID by Barb Frase),Arenaria  fendleri (ID by Barb Frase),Arenaria  fendleri (ID by Barb Frase),Arenaria  fendleri (ID by Barb Frase) Arenaria  fendleri (ID by Barb Frase) Arenaria  fendleri (ID by Barb Frase),,yes,Arenaria,fendleri,
SB2-1973,Arnica  cordifolia,6/20/73,,,,,,,,,,sb2-1973,Arnica,cordifolia,,Arnica cordifolia ,,no,,,this genus not in current data
SS4-1973,Arnica  chamissonis?,6/7/73,,,,,,,,,,ss4-1973,Arnica,chamissonis?,,Arnica chamissonis? ,,yes,Arnica,chamissonis,c/b plots no longer extant
INT1-1975,Artemisia dracunculus,6/3/75,,,,,,,,,,int1-1975,Artemisia,dracunculus,,Artemisia dracunculus ,,yes,Oligosporus,dracunculus,
RM2-1973,Artemisia  tridentata,6/6/73,,,,,,,,,,rm2-1973,Artemisia,tridentata,,Artemisia tridentata ,,no,,,
RM11977,Aster  engelmanii,6/5/77,,,,,,,,,,rm11977,Aster,engelmanii,,Aster engelmanii ,,no,,,
RM11979,Aster  laevis?,6/1/79,,,,,,,,,,rm11979,Aster,laevis?,,Aster laevis? ,,yes,Aster,engelmannii,
vr2-1986,Aster,5/31/86,,,,,,,,,,vr2-1986,Aster,,,Aster  ,,yes,Aster,engelmannii,
RM8-1974,Aster?,5/25/74,,,,,,,,,,rm8-1974,Aster?,,,Aster?  ,,yes,Symphyotrichum,foliaceum,later called A. foliaceus
SB7-1973,Astragalus  alpinus,7/23/73,,,11,,,,,,,sb7-1973,Astragalus,alpinus,,Astragalus alpinus ,,no,,,genus not in current data - 1973 plot
rocky meadow #9 - 1999,awn grass,5/21/99,,,,,,,,,,rocky meadow #9 - 1999,awn,grass,,awn grass ,,yes,Stipa,lettermannii,
Aspen Forest Plot #9 - 2006,Bromelica (Melica) spectabilis,4/30/06,,,,,,,,,,aspen forest plot #9 - 2006,Bromelica,(Melica),spectabilis,Bromelica (Melica) spectabilis,,yes,Melica,spectabilis,
erythronium meadow #1 - 1999,Bromopsis spp,5/21/99,,,,,,,,,,erythronium meadow #1 - 1999,Bromopsis,spp,,Bromopsis spp ,,yes,Ceratochloa,carinata,
gp11996,Bromopsis ceratochloa carinatus?,5/10/96,,,,,,,,,,gp11996,Bromopsis,ceratochloa,carinatus?,Bromopsis ceratochloa carinatus?,,yes,Ceratochloa,carinata,
greenhouse plot #3 - 1998,Bromopsis ceratochloa carinatus,6/24/98,,,,,,,,,,greenhouse plot #3 - 1998,Bromopsis,ceratochloa,carinatus,Bromopsis ceratochloa carinatus,,yes,Ceratochloa,carinata,
greenhouse plot #3 - 2004,Bromopsis pumpelliana (?),5/1/04,,,,,,,,,,greenhouse plot #3 - 2004,Bromopsis,pumpelliana,(?),Bromopsis pumpelliana (?),,yes,Bromus,inermis,
greenhouse plot #3 - 2005,Bromopsis pumpelliana,5/21/05,,,,,,,,,,greenhouse plot #3 - 2005,Bromopsis,pumpelliana,,Bromopsis pumpelliana ,,yes,Bromus,inermis,
greenhouse plot #4 - 1999,Bromopsis spp.,5/21/99,,,,,,,,,,greenhouse plot #4 - 1999,Bromopsis,spp.,,Bromopsis spp. ,,yes,Bromus,inermis,
greenhouse plot #5 - 2005,Bromopsis inermis,5/21/05,,,,,,,,,,greenhouse plot #5 - 2005,Bromopsis,inermis,,Bromopsis inermis ,,yes,Bromus,inermis,
wet meadow #4 - 1998,Bromopsis ceratochlora carinatus?,5/2/98,,,,,,,,,,wet meadow #4 - 1998,Bromopsis,ceratochlora,carinatus?,Bromopsis ceratochlora carinatus?,,yes,Ceratochloa,carinata,
willow-meadow interface #1 - 1999,Bromopsis spp. (smooth),5/21/99,,,,,,,,,,willow-meadow interface #1 - 1999,Bromopsis,spp.,(smooth),Bromopsis spp. (smooth),,yes,Ceratochloa,carinata,
wet meadow #3 - 1998,Bromopsis ceratochloa carinatus? (nodding brome),5/2/98,,,,,,,,,,wet meadow #3 - 1998,Bromopsis ceratochloa carinatus? (nodding brome),Bromopsis ceratochloa carinatus? (nodding brome),Bromopsis ceratochloa carinatus? (nodding brome),Bromopsis ceratochloa carinatus? (nodding brome) Bromopsis ceratochloa carinatus? (nodding brome) Bromopsis ceratochloa carinatus? (nodding brome),,yes,Ceratochloa,carinata,
Willow-Meadow Interface Plot #4 - 2009,Bromopsis pumpelliana (Bromus inermis var. pumpellianus,5/9/09,,,,,,,,,,willow-meadow interface plot #4 - 2009,Bromopsis pumpelliana (Bromus inermis var. pumpellianus,Bromopsis pumpelliana (Bromus inermis var. pumpellianus,Bromopsis pumpelliana (Bromus inermis var. pumpellianus,Bromopsis pumpelliana (Bromus inermis var. pumpellianus Bromopsis pumpelliana (Bromus inermis var. pumpellianus Bromopsis pumpelliana (Bromus inermis var. pumpellianus,,yes,Bromus,inermis,
Wet Meadow #4 - 2009,Bromopsis pumpelliana (Bromus inermis var. pumpellianus),5/9/09,,,,,,,,,,wet meadow #4 - 2009,Bromopsis pumpelliana (Bromus inermis var. pumpellianus),Bromopsis pumpelliana (Bromus inermis var. pumpellianus),Bromopsis pumpelliana (Bromus inermis var. pumpellianus),Bromopsis pumpelliana (Bromus inermis var. pumpellianus) Bromopsis pumpelliana (Bromus inermis var. pumpellianus) Bromopsis pumpelliana (Bromus inermis var. pumpellianus),,yes,Bromus,inermis,
wet meadow #3 - 1999,"Bromopsis spp. (fuzzy, purple)",5/21/99,,,,,,,,,,wet meadow #3 - 1999,"Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple)","Bromopsis spp. (fuzzy, purple) Bromopsis spp. (fuzzy, purple) Bromopsis spp. (fuzzy, purple)",,yes,,,Bromus tectorum?
wet meadow #2 - 1999,"Bromopsis spp. (hairy, purple)",5/21/99,,,,,,,,,,wet meadow #2 - 1999,"Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple)","Bromopsis spp. (hairy, purple) Bromopsis spp. (hairy, purple) Bromopsis spp. (hairy, purple)",,yes,,,Bromus tectorum?
greenhouse plot #3 - 2000,"Bromopsis ssp. (fuzzy, purple)",4/8/00,,,,,,,,,,greenhouse plot #3 - 2000,"Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple)","Bromopsis ssp. (fuzzy, purple) Bromopsis ssp. (fuzzy, purple) Bromopsis ssp. (fuzzy, purple)",,yes,,,Bromus tectorum?
willow-meadow interface #3 - 2000,"Bromopsis ssp. (purple, furry)",4/8/00,,,,,,,,,,willow-meadow interface #3 - 2000,"Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry)","Bromopsis ssp. (purple, furry) Bromopsis ssp. (purple, furry) Bromopsis ssp. (purple, furry)",,yes,,,Bromus tectorum?
wet meadow #3 - 2005,Brompsis pumpelliana (?),5/21/05,,,,,,,,,,wet meadow #3 - 2005,Brompsis,pumpelliana,(?),Brompsis pumpelliana (?),,yes,Bromus,inermis,
Wet Meadow #3 - 2009,Brompsis pumpelliana,5/9/09,,,,,,,,,,wet meadow #3 - 2009,Brompsis,pumpelliana,,Brompsis pumpelliana ,,yes,Bromus,inermis,
em11992,Bromus  nodding brome,5/26/92,,,,,,,,,,em11992,Bromus,nodding,brome,Bromus nodding brome,,yes,Ceratochloa,carinata,maybe?
em2-1983,Bromus  nodding,6/8/83,,,,,,,,,,em2-1983,Bromus,nodding,,Bromus nodding ,,yes,Ceratochloa,carinata,maybe?
veratrum removal #2 - 2000,Bromus spp.,4/8/00,,,,,,,,,,veratrum removal #2 - 2000,Bromus,spp.,,Bromus spp. ,,yes,Ceratochloa,carinata,maybe?
wm1-1983,Bromus  (nodding),6/8/83,,,,,,,,,,wm1-1983,Bromus,(nodding),,Bromus (nodding) ,,yes,Ceratochloa,carinata,maybe?
wm21993,Bromus  upright,6/3/93,,,,,,,,,,wm21993,Bromus,upright,,Bromus upright ,,yes,Ceratochloa,carinata,maybe?
wm31991,Bromus - nodding,5/30/91,,,,,,,,,,wm31991,Bromus,-,nodding,Bromus - nodding,,yes,Ceratochloa,carinata,maybe?
wm4-1984,Bromus,5/28/84,,,,,,,,,,wm4-1984,Bromus,,,Bromus  ,,yes,Ceratochloa,carinata,maybe?
wm41995,Bromus - nodding brome,6/10/95,,,,,,,,,,wm41995,Bromus - nodding brome,Bromus - nodding brome,Bromus - nodding brome,Bromus - nodding brome Bromus - nodding brome Bromus - nodding brome,,yes,Ceratochloa,carinata,maybe?
gp11993,"Bromus?  tall, heavy heads",6/3/93,,,,,,,,,,gp11993,"Bromus?  tall, heavy heads","Bromus?  tall, heavy heads","Bromus?  tall, heavy heads","Bromus?  tall, heavy heads Bromus?  tall, heavy heads Bromus?  tall, heavy heads",,yes,Ceratochloa,carinata,maybe?
RM2-1973,Calochortus  gunnisonii,6/6/73,,,,,,,,,,rm2-1973,Calochortus,gunnisonii,,Calochortus gunnisonii ,,no,,,
INT4-1974,Campanula rotundifolia,5/26/74,,,,,,,,,,int4-1974,Campanula,rotundifolia,,Campanula rotundifolia ,,no,,,
SB2-1973,Cardamine  cordifolia,6/20/73,,,,,,,,,,sb2-1973,Cardamine,cordifolia,,Cardamine cordifolia ,,no,,,
Greenhouse Plot #2 - 2006,Carex illota??  microptera??,5/4/06,,,,,,,,,,greenhouse plot #2 - 2006,Carex,illota??,microptera??,Carex illota?? microptera??,,yes,Carex,sp.,
greenhouse plot #3 - 2000,Carex spp. (dark) ,4/8/00,,,,,,,,,,greenhouse plot #3 - 2000,Carex,spp.,(dark),Carex spp. (dark),,yes,Carex,sp.,
greenhouse plot #5 - 1999,Carex spp,5/21/99,,,,,,,,,,greenhouse plot #5 - 1999,Carex,spp,,Carex spp ,,yes,Carex,sp.,
INT1-1974,Carex,5/26/74,,,,,,,,,,int1-1974,Carex,,,Carex  ,,yes,Carex,sp.,
int41992,Carex  geyeri?,5/26/92,,,,,,,,,,int41992,Carex,geyeri?,,Carex geyeri? ,,yes,Carex,geyeri,C. geyeri most common Carex -- flowers early
rm2-1982,Carex  geyeri,6/1/82,,,,,,,,,,rm2-1982,Carex,geyeri,,Carex geyeri ,,no,Carex,sp.,"MANY other Carex present, never identified"
rm8-1986,Carex sp. B,5/31/86,,,,,,,,,,rm8-1986,Carex,sp.,B,Carex sp. B,,yes,Carex,sp.,"If not ID'ed as geyeri, probably not"
rm81989,Carex ?  species,5/13/89,,,,,,,,,,rm81989,Carex,?,species,Carex ? species,,yes,Carex,sp.,No idea except to call Carex sp.
rocky meadow #8 - 2000,Carex spp.,4/8/00,,,,,,,,,,rocky meadow #8 - 2000,Carex,spp.,,Carex spp. ,,yes,Carex,sp.,
wet meadow #2 - 1999,Carex #2,5/21/99,,,,,,,,,,wet meadow #2 - 1999,Carex,#2,,Carex #2 ,,yes,Carex,sp.,
wet meadow #2 - 2001,Carex (not geyeri),5/2/01,,,,,,,,,,wet meadow #2 - 2001,Carex,(not,geyeri),Carex (not geyeri),,yes,Carex,sp.,
Wet Meadow #2 - 2007,Carex illota??  Microptera??,5/14/07,,,,,,,,,,wet meadow #2 - 2007,Carex,illota??,Microptera??,Carex illota?? Microptera??,,yes,Carex,sp.,
wet meadow #4 - 2001,Carex sp.,4/19/01,,,,,,,,,,wet meadow #4 - 2001,Carex,sp.,,Carex sp. ,,yes,Carex,sp.,
wm2-1985,Carex  species B,5/30/85,,,,,,,,,,wm2-1985,Carex,species,B,Carex species B,,yes,Carex,sp.,
rm21995,Carex  same species as RM9,6/5/95,,,,,,,,,,rm21995,Carex  same species as RM9,Carex  same species as RM9,Carex  same species as RM9,Carex  same species as RM9 Carex  same species as RM9 Carex  same species as RM9,,yes,Carex,sp.,
Willow-Meadow Interface Plot #3 - 2008,Carex - like Int1,6/8/08,,,,,,,,,,willow-meadow interface plot #3 - 2008,Carex - like Int1,Carex - like Int1,Carex - like Int1,Carex - like Int1 Carex - like Int1 Carex - like Int1,,yes,Carex,sp.
Stream Plot #10 - 2006,"Carex - tall, short brown head",4/28/06,,,,,,,,,,stream plot #10 - 2006,"Carex - tall, short brown head","Carex - tall, short brown head","Carex - tall, short brown head","Carex - tall, short brown head Carex - tall, short brown head Carex - tall, short brown head",,yes,Carex,sp.
greenhouse plot #4 - 2008,Carex (big brown head) ,6/6/08,,,,,,,,,,greenhouse plot #4 - 2008,Carex (big brown head) ,Carex (big brown head) ,Carex (big brown head) ,Carex (big brown head)  Carex (big brown head)  Carex (big brown head) ,,yes,Carex,sp.
wet meadow #2 - 2004,Carex (not geyeri - stigmas shorter),5/3/04,,,,,,,,,,wet meadow #2 - 2004,Carex (not geyeri - stigmas shorter),Carex (not geyeri - stigmas shorter),Carex (not geyeri - stigmas shorter),Carex (not geyeri - stigmas shorter) Carex (not geyeri - stigmas shorter) Carex (not geyeri - stigmas shorter),,yes,Carex,sp.
Stream Plot #10 - 2007,Carex sp. (nigricans? - black perigynia),5/14/07,,,,,,,,,,stream plot #10 - 2007,Carex sp. (nigricans? - black perigynia),Carex sp. (nigricans? - black perigynia),Carex sp. (nigricans? - black perigynia),Carex sp. (nigricans? - black perigynia) Carex sp. (nigricans? - black perigynia) Carex sp. (nigricans? - black perigynia),,yes,Carex,sp.
Stream Plot #10 - 2006,"Carex sp. (viridula? - short, 3 spikes, green, small perigynia)",4/28/06,,,,,,,,,,stream plot #10 - 2006,"Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia)","Carex sp. (viridula? - short, 3 spikes, green, small perigynia) Carex sp. (viridula? - short, 3 spikes, green, small perigynia) Carex sp. (viridula? - short, 3 spikes, green, small perigynia)",,yes,Carex,sp.
wm41993,Carex species  not geyeri or simulata?,6/3/93,,,,female,,,,,,wm41993,Carex species  not geyeri or simulata?,Carex species  not geyeri or simulata?,Carex species  not geyeri or simulata?,Carex species  not geyeri or simulata? Carex species  not geyeri or simulata? Carex species  not geyeri or simulata?,,yes,Carex,sp.
RM7-1975,Castilleja,6/3/75,,,,,,,,,,rm7-1975,Castilleja,,,Castilleja  ,,yes,Castilleja,linariaefolia
rm7-1983,Castilleja  (red),6/7/83,,,,,,,,,,rm7-1983,Castilleja,(red),,Castilleja (red) ,,yes,Castilleja,linariaefolia
rm7-1986,Castilleja  red,5/31/86,,,,,,,,,,rm7-1986,Castilleja,red,,Castilleja red ,,yes,Castilleja,linariaefolia
RM9-1973,Castilleja  sulphurea,7/10/73,,,,,,,,,,rm9-1973,Castilleja,sulphurea,,Castilleja sulphurea ,,no,,
Rocky Meadow #7 - 2007,Castilleja linariifolia,4/18/07,,,,,,,,,,rocky meadow #7 - 2007,Castilleja,linariifolia,,Castilleja linariifolia ,,yes,Castilleja,linariaefolia
SB7-1973,Castilleja  miniata,7/23/73,,,17,,,,,,,sb7-1973,Castilleja,miniata,,Castilleja miniata ,,yes,Castilleja,linariaefolia
greenhouse plot #1 - 2004,Ceratochloa (Bromus) carinata,5/5/04,,,,,,,,,,greenhouse plot #1 - 2004,Ceratochloa,(Bromus),carinata,Ceratochloa (Bromus) carinata,,yes,Ceratochloa,carinata
greenhouse plot #3 - 2003,Ceratochloa (Bromus) carinatus,4/30/03,,,,,,,,,,greenhouse plot #3 - 2003,Ceratochloa,(Bromus),carinatus,Ceratochloa (Bromus) carinatus,,yes,Ceratochloa,carinata
int41996,Ceratochloa carinata,5/10/96,,,,,,,,,,int41996,Ceratochloa,carinata,,Ceratochloa carinata ,,yes,Ceratochloa,carinata
willow-meadow interface #3 - 2004,Ceratochloa (Bromopsis) carinata,3/20/04,,,,,,,,,,willow-meadow interface #3 - 2004,Ceratochloa,(Bromopsis),carinata,Ceratochloa (Bromopsis) carinata,,yes,Ceratochloa,carinata,
wm11996,Ceratochloa carinatus,5/10/96,,,,,,,,,,wm11996,Ceratochloa,carinatus,,Ceratochloa carinatus ,,yes,Ceratochloa,carinata,
gp21996,Ceratochloa carinata (nodding brome),5/10/96,,,,,,,,,,gp21996,Ceratochloa carinata (nodding brome),Ceratochloa carinata (nodding brome),Ceratochloa carinata (nodding brome),Ceratochloa carinata (nodding brome) Ceratochloa carinata (nodding brome) Ceratochloa carinata (nodding brome),,yes,Ceratochloa,carinata,
willow-meadow interface #2 - 2004,Chamerion danielsii (Epilobium angustifolium),5/5/04,,,,,,,,,,willow-meadow interface #2 - 2004,Chamerion danielsii (Epilobium angustifolium),Chamerion danielsii (Epilobium angustifolium),Chamerion danielsii (Epilobium angustifolium),Chamerion danielsii (Epilobium angustifolium) Chamerion danielsii (Epilobium angustifolium) Chamerion danielsii (Epilobium angustifolium),,yes,Chamerion,angustifolium,
em2-1985,Chenopodium  album?,6/1/85,,,,,,,,,,em2-1985,Chenopodium,album?,,Chenopodium album? ,,yes,Chenopodium,album,
Greenhouse Plot #2 - 2007,Chenopodium foliosum,5/12/07,,,,,,,,,,greenhouse plot #2 - 2007,Chenopodium,foliosum,,Chenopodium foliosum ,,,,,not in RMBL herbarium
veratrum removal #1,Chenopodium,5/10/96,,,,,,,,,,veratrum removal #1,Chenopodium,,,Chenopodium  ,,yes,Chenopodium,album,no longer in plots - tracked outside plots in VR area
wet meadow #4 - 1999,Chenopodium alba,5/21/99,,,,,,,,,,wet meadow #4 - 1999,Chenopodium,alba,,Chenopodium alba ,,yes,Chenopodium,album,
willow-meadow interface #5 - 1999,Chenopodium spp,5/21/99,,,,,,,,,,willow-meadow interface #5 - 1999,Chenopodium,spp,,Chenopodium spp ,,yes,,,
wm41995,Chenopodium  album,6/10/95,,,,,,,,,,wm41995,Chenopodium,album,,Chenopodium album ,,no,,,
RM1-1973,Claytonia  lanceolata,6/6/73,,,291,,,,,,,rm1-1973,Claytonia,lanceolata,,Claytonia lanceolata ,,no,,,
