"givenname","needs.change","lookup.gen","lookup.sp","notes"
"Lupinus amplus","yes?","Lupinus","sp.","I call all Lupinus sp. Because there's doubts about what's what"
"Achillea lanulosa","yes","Achillea","millefolium",""
"Achillea millifolium","yes","Achillea","millefolium",""
"Aconitum columbinaum","yes","Aconitum","columbianum",""
"Agoseris (small orange)","yes","Agoseris","aurantiaca",""
"Agoseris aurantiaca.1","yes","Agoseris","aurantiaca",""
"Agoseris glauca(?)","yes","Agoseris","glauca",""
"Agoseris glauca.1","yes","Agoseris","glauca",""
"Agoseris glauca?","yes","Agoseris","glauca",""
"Agropyron trachycaulis","yes","Elymus","trachycaulis",""
"Agropyron trachycaulus","yes","Elymus","trachycaulis",""
"Agropyron trachycaulus (""wheat grass"")","yes","Elymus","trachycaulis",""
"Agropyron trachycaulus (wheat grass)","yes","Elymus","trachycaulis",""
"Androsace septentionalis","yes","Androsace","septentrionalis",""
"annual [Probably Galium bifolium - dwi 3/22/03]","yes","Galium","bifolium",""
"Anticlea (Zygadenus) elegans","yes","Anticlea","elegans",""
"Arenaria conjesta","yes","Arenaria","congesta",""
"Artemesia dracunculus","yes","Artemisia","dracunculus",""
"Artemesia tridentata","yes","Artemisia","tridentata",""
"Artemisia dracunuculus","yes","Artemisia","dracunculus",""
"Aster engelmanii ?","yes","Aster","engelmannii",""
"Aster engelmanii?","yes","Aster","engelmannii",""
"Aster foliaceus","yes","Symphyotrichum","foliaceum",""
"Aster foliaceus (Symphyotrichum foliaceum)","yes","Symphyotrichum","foliaceum",""
"Aster foliacous","yes","Symphyotrichum","foliaceum",""
"Barbarea vulgaris ?","yes","Barbarea","vulgaris","not present in plots anymore"
"Calochortus","yes","Calochortus","gunnisonii",""
"Calochortus gunnisoni","yes","Calochortus","gunnisonii",""
"Calochortus gunnisonni","yes","Calochortus","gunnisonii",""
"Caltha leptosepala","yes","Psychrophila","leptosepala","no longer in plots - not sure of Genus"
"Campanula","yes","Campanula","rotundifolia",""
"Campanula rotundifoolia","yes","Campanula","rotundifolia",""
"Campanula rotunifolia","yes","Campanula","rotundifolia",""
"Campunula rotundifolia","yes","Campanula","rotundifolia",""
"Cardamine cordifloia","yes","Cardamine","cordifolia",""
"Castilleja linariaefolia","yes","Castilleja","linariaefolia",""
"Castilleja linariaefolia?","yes","Castilleja","linariaefolia",""
"Castilleja miniata?","yes","Castilleja","miniata",""
"Castilleja occidentale","yes","Castilleja","sulphurea",""
"Castilleja sulphurea - about a meter downhill from plot","yes","Castilleja","sulphurea","plant not in any plot"
"Chrysopsis villosa","yes","Heterotheca","villosa",""
"Chrysopsis villosus","yes","Heterotheca","villosa",""
"Cirsium","yes","Cirsium","sp.","all Cirsium is Cirsium sp. In current matrix"
"Cirsium - short, white flowers","yes","Cirsium","sp.",""
"Cirsium - white flowers, about 38 cm tall","yes","Cirsium","sp.",""
"Cirsium - yellow flowered, common in townsite","yes","Cirsium","sp.",""
"Cirsium - yellow flowers","yes","Cirsium","sp.",""
"Cirsium - yellow; outside plot","yes","Cirsium","sp.",""
"Cirsium (common yellow)","yes","Cirsium","sp.",""
"Cirsium (eatonii?)","yes","Cirsium","sp.",""
